                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9708,                 4.2749,                 2.5917,                 2.5431,                 5.3441,                 2.1381,                0.00041,                0.21078,                0.00028,                  9e-05,                 4.4323,                 5.0118,                 26.174,                 3.3236,                 5.7284,                 5.0168,               0.070132,              0.0033186,              0.0033186
                      2,                 2.9023,                 4.0858,                 2.5495,                  2.544,                 4.6141,                 2.0635,                  5e-05,                0.02451,                  2e-05,                  1e-05,                 3.4196,                 8.4534,                 2.8824,                 2.7173,                  8.825,                 2.0575,               0.040066,              0.0065861,              0.0065861
                      3,                 2.8945,                 4.1224,                 2.5063,                 2.5473,                 4.5914,                 2.0204,                0.00011,                0.02451,                  4e-05,                  1e-05,                  5.383,                  21056,                 2618.8,                 3.8984,                  12125,                 1565.8,              0.0099344,              0.0097876,              0.0097876
                      4,                 2.8328,                 3.9806,                 2.4556,                 2.4553,                 4.4759,                 1.9762,                0.00039,                0.20098,                 0.0005,                0.00014,                 3.0667,                 6.6454,                  2.921,                 2.4781,                 6.7042,                 4.3826,               0.009703,               0.009703,               0.009703
                      5,                 2.8021,                 3.8906,                 2.4511,                  2.455,                 4.3821,                 1.9882,                0.00127,                0.65196,                0.00184,                 0.0005,                 2.7606,                 4.2548,                 2.4858,                 2.4182,                 4.8506,                 1.9651,               0.009703,               0.009703,               0.009703
                      6,                 2.7998,                 3.8622,                 2.3768,                 2.4365,                 4.3371,                 1.9724,                0.00146,                 0.7451,                0.00424,                0.00117,                 2.6716,                 3.9952,                 2.4721,                 2.2785,                 4.5432,                 1.9862,               0.009604,               0.009604,               0.009604
                      7,                 2.7821,                 3.8288,                 2.3594,                 2.3984,                 4.3228,                 1.9534,                0.00134,                0.68627,                0.00291,                0.00077,                 2.7431,                 4.1496,                 2.8224,                 2.3772,                 4.7127,                 2.5579,               0.009505,               0.009505,               0.009505
                      8,                 2.7568,                 3.7755,                 2.3043,                 2.3834,                 4.2754,                 1.9444,                0.00139,                0.71078,                 0.0029,                0.00076,                 2.7704,                 4.2286,                 2.4758,                 2.2296,                 4.9066,                 1.9569,               0.009406,               0.009406,               0.009406
                      9,                 2.7254,                 3.7424,                 2.2882,                 2.3623,                  4.228,                 1.9329,                0.00138,                0.70588,                0.00338,                0.00081,                  2.549,                 4.1158,                  2.332,                 2.3307,                 4.7434,                 1.9408,               0.009307,               0.009307,               0.009307
                     10,                 2.6982,                 3.7602,                 2.3033,                 2.3586,                 4.2306,                 1.9112,                 0.0012,                0.61275,                0.00258,                0.00066,                 2.6884,                 4.2889,                 2.4674,                 2.3623,                 4.8295,                 2.0202,               0.009208,               0.009208,               0.009208
                     11,                 2.7087,                 3.7227,                 2.2727,                 2.3653,                 4.1734,                 1.9092,                0.00146,                 0.7451,                0.00422,                0.00117,                 2.7968,                 4.0421,                 2.4191,                 2.2379,                 4.4938,                 2.0013,               0.009109,               0.009109,               0.009109
                     12,                 2.6752,                 3.7438,                 2.2628,                 2.3463,                 4.1899,                 1.9183,                0.00105,                0.53922,                0.00219,                0.00054,                 2.7885,                 4.8738,                 2.6222,                  2.393,                 5.0907,                 2.1336,                0.00901,                0.00901,                0.00901
                     13,                 2.6692,                 3.7128,                 2.2634,                 2.3372,                 4.1767,                 1.9049,                0.00149,                0.76471,                0.00395,                0.00105,                 2.6778,                 3.9439,                 2.3846,                 2.2892,                 43.759,                 1.9374,               0.008911,               0.008911,               0.008911
                     14,                 2.6611,                 3.6787,                 2.2428,                 2.3452,                 4.1317,                  1.904,                0.00149,                0.76471,                0.00567,                0.00148,                 2.6273,                 3.9761,                 2.3497,                 2.2283,                 16.439,                 1.9607,               0.008812,               0.008812,               0.008812
                     15,                 2.6616,                 3.6793,                  2.248,                 2.3462,                 4.1349,                 1.9606,                0.00098,                    0.5,                0.00601,                0.00141,                 3.0082,                 4.7672,                    2.8,                 2.5023,                 5.3379,                 2.3129,               0.008713,               0.008713,               0.008713
                     16,                 2.6488,                 3.6806,                 2.2323,                 2.3318,                  4.099,                 1.9504,                0.00132,                0.67647,                0.00429,                0.00108,                 2.7311,                 4.8299,                 2.5048,                 2.2765,                 5.0557,                 1.9975,               0.008614,               0.008614,               0.008614
                     17,                 2.6156,                  3.602,                 2.2155,                 2.3054,                 4.0546,                 1.8824,                0.00123,                0.62745,                0.00174,                0.00055,                 2.6654,                 5.8142,                 2.5532,                 2.3326,                 101.84,                 16.806,               0.008515,               0.008515,               0.008515
                     18,                 2.6165,                 3.6044,                 2.2426,                  2.272,                 4.0567,                 1.9046,                0.00128,                0.65686,                0.00454,                0.00118,                  2.712,                 4.1191,                 2.5578,                 2.4408,                 4.6314,                 2.0953,               0.008416,               0.008416,               0.008416
                     19,                  2.613,                 3.5905,                 2.2202,                 2.2821,                 4.0602,                 1.9041,                 0.0014,                0.71569,                0.00296,                0.00088,                 2.6144,                 26.693,                 2.3444,                 2.3136,                 832.82,                  1.976,               0.008317,               0.008317,               0.008317
                     20,                 2.5762,                 3.5352,                 2.1864,                 2.3076,                 3.9876,                 1.8697,                0.00161,                0.82353,                0.00898,                0.00233,                 2.5555,                 3.7698,                 2.3448,                 2.2059,                 4.8557,                 1.8815,               0.008218,               0.008218,               0.008218
                     21,                 2.5833,                 3.5359,                 2.1868,                    2.3,                 3.9588,                  1.842,                 0.0013,                0.66667,                0.00446,                 0.0013,                 2.6717,                  4.455,                 2.5123,                 2.3273,                 4.9102,                 2.0587,               0.008119,               0.008119,               0.008119
                     22,                 2.5754,                 3.5242,                 2.1748,                 2.2843,                 3.9602,                 1.8441,                0.00154,                0.78922,                0.00756,                0.00204,                 2.5324,                 3.8122,                 2.4505,                 2.2318,                  4.336,                 1.9986,                0.00802,                0.00802,                0.00802
                     23,                 2.5498,                 3.4793,                 2.1733,                 2.2676,                 3.9304,                  1.829,                0.00159,                0.81373,                0.01097,                0.00309,                 2.5152,                 3.8211,                 2.3322,                 2.1309,                  4.343,                 1.8546,               0.007921,               0.007921,               0.007921
                     24,                 2.5444,                 3.4718,                 2.1633,                 2.2784,                 3.9247,                 1.8463,                0.00165,                0.84314,                0.01357,                0.00373,                 2.4875,                  3.619,                 2.3769,                 2.1961,                 4.0355,                 1.8853,               0.007822,               0.007822,               0.007822
                     25,                 2.5514,                  3.479,                 2.1655,                 2.2523,                 3.9314,                  1.813,                0.00164,                0.83824,                0.01807,                0.00446,                 2.5476,                 3.7607,                 2.3765,                 2.1224,                 4.1789,                 1.7859,               0.007723,               0.007723,               0.007723
